,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
0,3,5,3,1,5,3,1,3,2,4,2,3,2,5,1,2,4,3,1,4,1,3,2,2,3,3,3,5,1,5,2,2,3,1,5,2,2,4,1,3
1,1,5,1,1,2,4,1,5,5,1,1,5,5,4,4,1,1,1,5,3,1,4,2,5,1,3,1,2,2,3,4,3,3,4,2,1,3,4,5,5
2,3,4,4,1,4,1,3,3,1,5,2,1,2,4,4,1,3,2,2,1,1,3,1,5,5,2,4,2,3,5,4,1,5,5,2,1,4,3,3,5
3,5,2,5,3,1,3,2,4,1,3,1,5,3,4,2,3,5,1,2,5,5,5,5,2,2,4,4,3,2,5,3,1,3,4,2,1,1,2,3,5
4,5,2,1,1,2,5,5,5,3,5,4,3,3,1,2,1,2,4,4,3,2,4,5,5,2,5,2,4,1,1,4,5,1,3,5,5,5,1,3,4
5,5,1,5,5,4,4,4,2,3,3,5,4,4,3,2,3,2,5,1,1,2,3,4,2,3,5,4,3,3,1,1,2,5,1,1,3,3,2,4,5
6,4,3,4,5,1,1,4,4,3,4,3,4,2,2,4,2,2,1,5,3,5,2,1,5,3,3,2,1,5,2,2,1,5,4,2,3,4,1,5,5
7,1,1,2,2,5,5,5,2,3,2,3,4,5,2,2,1,5,2,3,2,2,2,3,5,2,4,1,1,2,1,1,3,1,5,5,1,1,3,2,3
8,4,1,2,5,5,2,4,5,4,5,4,5,2,3,2,3,1,1,3,1,3,3,4,1,1,2,4,1,3,3,3,5,2,4,5,2,4,4,3,3
9,2,4,4,3,5,1,2,5,4,4,5,2,5,5,3,5,4,3,3,5,5,3,4,2,4,3,3,3,3,5,2,5,1,5,1,4,1,2,2,5
10,2,5,1,1,2,2,1,5,4,3,3,2,2,3,5,2,5,1,1,2,4,3,5,3,1,4,1,5,1,3,3,4,2,3,3,1,5,3,3,1
11,5,3,5,5,5,2,4,3,3,2,4,3,5,5,4,1,4,3,3,3,2,2,5,2,3,5,2,2,2,5,1,1,2,5,4,5,3,5,5,3
12,5,2,5,1,1,3,3,1,3,1,3,5,4,1,1,1,2,2,3,4,4,3,5,3,3,5,5,2,1,4,3,2,1,2,3,3,5,3,3,2
13,5,5,2,1,5,2,5,3,4,4,4,5,4,5,5,5,5,4,4,3,1,2,4,4,4,5,5,3,1,5,2,2,5,3,4,2,5,2,2,2
14,3,2,1,5,4,2,1,2,3,5,3,1,2,3,5,2,3,2,4,4,4,4,1,5,1,1,2,3,3,3,2,3,2,1,3,5,5,1,4,4
15,5,3,3,1,1,3,5,5,4,4,4,4,1,2,4,5,4,5,3,5,4,4,2,4,1,3,2,4,4,3,4,4,4,5,5,5,5,1,3,3
16,1,4,5,3,2,4,1,4,5,4,4,3,4,1,4,3,5,4,4,4,3,4,4,4,2,1,4,3,3,5,5,2,1,4,2,5,4,3,2,5
17,3,4,4,2,5,4,3,4,5,5,3,2,1,5,4,3,3,2,4,1,5,5,5,1,4,5,2,5,5,4,4,5,2,5,3,3,3,5,5,4
18,2,1,1,5,1,1,4,4,3,4,3,1,2,1,5,3,2,1,1,3,4,5,3,4,1,1,2,3,1,5,5,1,3,4,4,1,5,2,2,2
19,5,1,2,2,4,2,1,3,2,4,5,1,5,1,4,4,5,2,1,2,5,4,5,4,1,5,2,3,1,2,4,5,5,2,4,1,3,4,2,5
20,1,2,5,2,3,4,2,4,2,3,3,5,1,1,5,4,2,1,2,1,4,5,4,5,1,2,1,1,5,2,5,2,4,1,4,5,1,1,5,1
21,2,5,4,1,3,1,1,4,1,3,2,4,1,4,1,4,5,2,1,4,1,4,3,5,2,5,1,4,5,4,1,4,5,3,3,1,5,2,2,5
22,4,5,2,2,5,5,2,4,1,1,2,5,2,1,2,2,1,3,4,3,2,4,4,1,3,1,5,5,5,3,2,5,5,2,3,1,2,2,5,3
