id,district
1,1
2,1
3,2
4,2
5,3
6,3
7,4
8,4
9,5
10,5
11,6
12,6
13,7
14,7
15,8
16,8
17,1
18,1
19,2
20,2
21,3
22,3
23,4
24,4
25,5
26,5
27,6
28,6
29,7
30,7
31,8
32,8
33,1
34,1
35,2
36,2
37,3
38,3
39,4
40,4
41,5
42,5
43,6
44,6
45,7
46,7
47,8
48,8
49,1
50,1
51,2
52,2
53,3
54,3
55,4
56,4
57,5
58,5
59,6
60,6
61,7
62,7
63,8
64,8
65,1
66,1
67,2
68,2
69,3
70,3
71,4
72,4
73,5
74,5
75,6
76,6
77,7
78,7
79,8
80,8
81,1
82,1
83,2
84,2
85,3
86,3
87,4
88,4
89,5
90,5
91,6
92,6
93,7
94,7
95,8
96,8
97,1
98,1
99,2
100,2
101,3
102,3
103,4
104,4
105,5
106,5
107,6
108,6
109,7
110,7
111,8
112,8
113,1
114,1
115,2
116,2
117,3
118,3
119,4
120,4
121,5
122,5
123,6
124,6
125,7
126,7
127,8
128,8
129,1
130,1
131,2
132,2
133,3
134,3
135,4
136,4
137,5
138,5
139,6
140,6
141,7
142,7
143,8
144,8
145,1
146,1
147,2
148,2
149,3
150,3
151,4
152,4
153,5
154,5
155,6
156,6
157,7
158,7
159,8
160,8
161,1
162,1
163,2
164,2
165,3
166,3
167,4
168,4
169,5
170,5
171,6
172,6
173,7
174,7
175,8
176,8
177,1
178,1
179,2
180,2
181,3
182,3
183,4
184,4
185,5
186,5
187,6
188,6
189,7
190,7
191,8
192,8
193,1
194,1
195,2
196,2
197,3
198,3
199,4
200,4
201,5
202,5
203,6
204,6
205,7
206,7
207,8
208,8
209,1
210,1
211,2
212,2
213,3
214,3
215,4
216,4
217,5
218,5
219,6
220,6
221,7
222,7
223,8
224,8
225,1
226,1
227,2
228,2
229,3
230,3
231,4
232,4
233,5
234,5
235,6
236,6
237,7
238,7
239,8
240,8
241,1
242,1
243,2
244,2
245,3
246,3
247,4
248,4
249,5
250,5
251,6
252,6
253,7
254,7
255,8
256,8
